id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2023-02-11,51.671333,34.073166,Bilokopytove,Shelling at Bilokopytove,Alternate place names: Bilokopytove,DEFMON,[],[]
,2023-02-11,51.22035,34.222714,Stari Vyrky,Shelling at Stari Vyrky,"Alternate place names: Stari Virky,",DEFMON,[],[]
,2023-02-11,51.224923,34.468661,Shpyl,Shelling at Shpyl,Alternate place names: Shpyl,DEFMON,[],[]
,2023-02-11,51.512785,34.266453,Vovkivka,Shelling at Vovkivka,"Alternate place names: Vovkivka, Volkivka",DEFMON,[],[]
,2023-02-11,51.698657,34.129092,Studenok,Shelling at Studenok,"Alternate place names: Studenok, Studenka, Studenko",DEFMON,[],[]
,2023-02-11,52.330733,33.475208,Novovasylivka,Shelling at Novovasylivka,Alternate place names: Novovasylivka,DEFMON,[],[]
,2023-02-11,52.121631,34.07578,Porokhon,Shelling at Porokhon,Alternate place names: Porohony,DEFMON,[],[]
,2023-02-11,51.241672,34.467407,Volfyne,Shelling at Volfyne,"Alternate place names: Volfyne,Volfine, Volfyny, Volfyno, Wolfyne",DEFMON,[],[]
,2023-02-11,52.258869,32.835973,Leonivka,Shelling at Leonivka,Alternate place names: Leonivka,DEFMON,[],[]
,2023-02-11,51.620726,34.147721,Starykove,Shelling at Starykove,Alternate place names: Starykovo,DEFMON,[],[]
,2023-02-11,50.382503,36.061166,Udy,Shelling at Udy,"Alternate place names: Uda, Svit, Udyv,Udiv",DEFMON,[],[]
,2023-02-11,50.034519,36.670598,Pishchane,Shelling at Pishchane,"Alternate place names: Pishchane, Pischane",DEFMON,[],[]
,2023-02-11,50.291642,36.977,Vovchans'k,Shelling at Vovchans'k,Alternate place names: Vovchansk,DEFMON,[],[]
,2023-02-11,49.81883,37.615502,Zapadne,Shelling at Zapadne,"Alternate place names: Zapadne, Zapadny",DEFMON,[],[]
,2023-02-11,50.302446,36.398606,Strilecha,Shelling at Strilecha,"Alternate place names: Strelcha, Strelecha, Strylecha",DEFMON,[],[]
,2023-02-11,49.850057,37.67508,Dvorichna,Shelling at Dvorichna,"Alternate place names: Dvorichna, Dvorichny",DEFMON,[],[]
,2023-02-11,49.519824,37.951791,Novoselivs'ke,Shelling at Novoselivs'ke,Alternate place names: Novoselivske,DEFMON,[],[]
,2023-02-11,49.763584,37.699398,Syn'kivka,Shelling at Syn'kivka,"Alternate place names: Sinkivka, Synkivka",DEFMON,[],[]
,2023-02-11,50.258297,36.426767,Hlyboke,Shelling at Hlyboke,"Alternate place names: Hlyboke, Glyboke, Hlybokoy, Glyboky",DEFMON,[],[]
,2023-02-11,49.899527,37.703649,Fyholivka,Shelling at Fyholivka,"Alternate place names: Figolivka, Figolivka",DEFMON,[],[]
,2023-02-11,49.713565,37.668749,Kucherivka,Shelling at Kucherivka,"Alternate place names: Kucherivka, Kuchkivka",DEFMON,[],[]
,2023-02-11,50.296807,36.841592,Ohirtseve,Shelling at Ohirtseve,"Alternate place names: Ohirtseve, Ogirtseve, Ohirtsevo, Okhirtsevo, Ogirtsevo",DEFMON,[],[]
,2023-02-11,50.18251,36.67167,Ternova,Shelling at Ternova,Alternate place names: Ternova,DEFMON,[],[]
,2023-02-11,50.407071,36.131926,Chervona Zorya,Shelling at Chervona Zorya,Alternate place names: Chervona Zorya,DEFMON,[],[]
,2023-02-11,49.845345,37.712223,Hryanykivka,Shelling at Hryanykivka,"Alternate place names: Hryanikyvka, Hryanivikka",DEFMON,[],[]
